"filename", "language", "Perl", "HTML", "Markdown", "YAML", "JavaScript", "JSON", "Dart", "C++", "Swift", "Ruby", "XML", "Java Properties", "comment", "blank", "total"
"c:\Flutter Projects\nascon\nascon\lib\screens\chat\widgets\_body.dart", "Dart", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 2, 5, 61
"c:\Flutter Projects\nascon\nascon\lib\screens\chat\widgets\_chat_tile.dart", "Dart", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 3, 44
"c:\Flutter Projects\nascon\nascon\lib\screens\chatbox\_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Flutter Projects\nascon\nascon\lib\screens\chatbox\chatbox.dart", "Dart", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 8, 3, 29
"c:\Flutter Projects\nascon\nascon\lib\screens\chatbox\widgets\_body.dart", "Dart", 0, 0, 0, 0, 0, 0, 168, 0, 0, 0, 0, 0, 143, 24, 335
"c:\Flutter Projects\nascon\nascon\lib\screens\chatbox\widgets\_message_tile.dart", "Dart", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 3, 32
"c:\Flutter Projects\nascon\nascon\lib\screens\dashboard\_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Flutter Projects\nascon\nascon\lib\screens\dashboard\dashboard.dart", "Dart", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Flutter Projects\nascon\nascon\lib\screens\dashboard\widgets\_body.dart", "Dart", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 5, 36
"c:\Flutter Projects\nascon\nascon\lib\screens\dashboard\widgets\_modal.dart", "Dart", 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 2, 5, 70
"c:\Flutter Projects\nascon\nascon\lib\screens\notification\_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Flutter Projects\nascon\nascon\lib\screens\notification\notification.dart", "Dart", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Flutter Projects\nascon\nascon\lib\screens\notification\widgets\_body.dart", "Dart", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Flutter Projects\nascon\nascon\lib\screens\project\_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Flutter Projects\nascon\nascon\lib\screens\project\project.dart", "Dart", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 2, 29
"c:\Flutter Projects\nascon\nascon\lib\screens\project\widgets\_body.dart", "Dart", 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 7, 82
"c:\Flutter Projects\nascon\nascon\lib\screens\project\widgets\_project_tile.dart", "Dart", 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 3, 82
